time,open,high,low,close
2022.11.29 04:00,1750.44,1755.05,1750.06,1753.94
2022.11.29 08:00,1753.99,1759.02,1752.18,1757.34
2022.11.29 12:00,1757.34,1758.02,1746.91,1755.14
2022.11.29 16:00,1755.20,1755.52,1748.89,1750.26
2022.11.29 20:00,1750.28,1750.44,1747.87,1748.90
2022.11.30 00:00,1748.93,1754.78,1747.80,1754.76
2022.11.30 04:00,1754.83,1756.82,1752.88,1755.13
2022.11.30 08:00,1755.11,1763.11,1754.85,1762.22
2022.11.30 12:00,1762.22,1764.62,1749.09,1752.59
2022.11.30 16:00,1752.59,1768.77,1744.89,1767.74
2022.11.30 20:00,1767.74,1773.44,1766.32,1773.43
2022.12.01 00:00,1773.43,1780.00,1771.74,1776.59
2022.12.01 04:00,1776.50,1783.66,1774.62,1775.41
2022.12.01 08:00,1775.34,1781.29,1774.79,1780.52
2022.12.01 12:00,1780.53,1804.00,1780.53,1796.46
2022.12.01 16:00,1796.51,1803.36,1796.12,1803.31
2022.12.01 20:00,1803.34,1804.42,1801.10,1802.26
2022.12.02 00:00,1802.27,1802.46,1795.47,1798.22
2022.12.02 04:00,1798.25,1802.55,1795.83,1801.74
2022.12.02 08:00,1801.71,1802.92,1797.96,1798.49
2022.12.02 12:00,1798.49,1800.99,1778.58,1785.72
2022.12.02 16:00,1785.72,1798.64,1784.58,1798.53
2022.12.02 20:00,1798.47,1799.51,1797.22,1797.59
2022.12.04 20:00,1796.66,1799.27,1794.36,1799.02
2022.12.05 00:00,1799.02,1809.01,1798.61,1808.64
2022.12.05 04:00,1808.66,1809.95,1797.52,1799.85
2022.12.05 08:00,1799.85,1800.46,1793.32,1793.89
2022.12.05 12:00,1793.91,1798.40,1773.09,1777.94
2022.12.05 16:00,1777.98,1779.44,1765.81,1768.16
2022.12.05 20:00,1768.15,1770.32,1766.64,1769.43
2022.12.06 00:00,1769.43,1776.31,1768.30,1771.99
2022.12.06 04:00,1772.06,1774.88,1767.32,1771.55
2022.12.06 08:00,1771.60,1778.97,1769.29,1778.93
2022.12.06 12:00,1778.91,1780.88,1770.80,1772.60
2022.12.06 16:00,1772.60,1776.28,1767.31,1771.41
2022.12.06 20:00,1771.42,1772.71,1770.28,1771.02
